question_id,method,bleu_score,difficulty
q001,vector,0.43147593310800925,easy
q002,vector,0.02250110187024035,medium
q003,vector,0.07480447919606817,medium
q004,vector,0.00851758400217966,hard
q005,vector,0.12988310144953827,easy
q006,vector,0.05333810168783814,hard
q007,vector,0.14440016772524844,medium
q008,vector,0.30784351601416166,medium
q009,vector,0.03167596767729106,hard
q010,vector,0.19082041095118563,medium
q011,vector,0.1720460174835487,easy
q012,vector,0.0731214927375959,hard
q001,graph,0.036107080872234056,easy
q002,graph,0.03534546725643087,medium
q003,graph,0.12640653505501356,medium
q004,graph,0.0,hard
q005,graph,0.0,easy
q006,graph,0.026308588007159815,hard
q007,graph,0.18783252021597469,medium
q008,graph,0.3471867713780383,medium
q009,graph,0.011782386561983231,hard
q010,graph,0.0,medium
q011,graph,0.11966751775324048,easy
q012,graph,0.0,hard
q001,baseline,0.012947086643829531,easy
q002,baseline,0.0028581157039406844,medium
q003,baseline,0.0057149037191496325,medium
q004,baseline,0.004696012130529709,hard
q005,baseline,0.001721176425520355,easy
q006,baseline,0.0022857154919972604,hard
q007,baseline,0.0016431622144760453,medium
q008,baseline,0.0011405438495147582,medium
q009,baseline,0.001480891423798721,hard
q010,baseline,0.0020827109666745865,medium
q011,baseline,0.002588016841482981,easy
q012,baseline,0.0011818212521442068,hard
