question_id,method,rouge1_f,rouge2_f,rougeL_f,difficulty
q001,vector,0.6666666666666666,0.4736842105263158,0.6153846153846154,easy
q002,vector,0.3619047619047619,0.19417475728155337,0.24761904761904763,medium
q003,vector,0.512,0.30894308943089427,0.28800000000000003,medium
q004,vector,0.17621145374449337,0.08,0.1409691629955947,hard
q005,vector,0.48484848484848486,0.32989690721649484,0.42424242424242425,easy
q006,vector,0.3783783783783784,0.22018348623853215,0.2882882882882883,hard
q007,vector,0.5858585858585859,0.3092783505154639,0.22222222222222224,medium
q008,vector,0.7058823529411765,0.6024096385542169,0.6823529411764706,medium
q009,vector,0.45,0.2051282051282051,0.325,hard
q010,vector,0.6086956521739131,0.35555555555555557,0.4782608695652174,medium
q011,vector,0.6464646464646465,0.4536082474226804,0.606060606060606,easy
q012,vector,0.4950495049504951,0.2626262626262626,0.4554455445544555,hard
q001,graph,0.4380952380952381,0.1553398058252427,0.3428571428571428,easy
q002,graph,0.41818181818181815,0.16666666666666669,0.32727272727272727,medium
q003,graph,0.6236559139784946,0.3296703296703297,0.2580645161290323,medium
q004,graph,0.0,0.0,0.0,hard
q005,graph,0.0,0.0,0.0,easy
q006,graph,0.4313725490196078,0.22000000000000003,0.29411764705882354,hard
q007,graph,0.7191011235955056,0.4137931034482759,0.31460674157303375,medium
q008,graph,0.75,0.6410256410256411,0.7249999999999999,medium
q009,graph,0.2891566265060241,0.07407407407407408,0.14457831325301204,hard
q010,graph,0.0,0.0,0.0,medium
q011,graph,0.5046728971962617,0.34285714285714286,0.4859813084112149,easy
q012,graph,0.0,0.0,0.0,hard
q001,baseline,0.22222222222222224,0.06622516556291391,0.14379084967320263,easy
q002,baseline,0.136,0.016129032258064512,0.06400000000000002,medium
q003,baseline,0.155688622754491,0.042168674698795185,0.08982035928143713,medium
q004,baseline,0.10491803278688525,0.033003300330033,0.07868852459016394,hard
q005,baseline,0.0861244019138756,0.00966183574879227,0.06698564593301436,easy
q006,baseline,0.10526315789473685,0.026490066225165563,0.06578947368421052,hard
q007,baseline,0.18439716312056736,0.03571428571428572,0.11347517730496455,medium
q008,baseline,0.08996539792387544,0.013937282229965157,0.06920415224913494,medium
q009,baseline,0.1388888888888889,0.027972027972027972,0.07638888888888888,hard
q010,baseline,0.21238938053097345,0.07142857142857142,0.1592920353982301,medium
q011,baseline,0.09523809523809523,0.014760147601476014,0.06593406593406594,easy
q012,baseline,0.099009900990099,0.013289036544850499,0.05940594059405941,hard
